index,ataque,tipo,dlllist_avg_dlls_per_proc,handles_nfile,handles_nkey,handles_nthread,handles_nsemaphore,handles_ntimer,handles_nmutant,ldrmodules_not_in_load,ldrmodules_not_in_mem,ldrmodules_not_in_load_avg,ldrmodules_not_in_init_avg,ldrmodules_not_in_mem_avg,malfind_ninjections,malfind_commitCharge,malfind_protection,svcscan_nservices,svcscan_process_services,svcscan_nactive,callbacks_ncallbacks,impacto ,afecta_al_activo,genera_riesgo
1,Ransomware,Ransomware,4005128205,646,654,829,640,120,259,47,47,29228856,52860697,29228856,3,3,18,389,24,122,87,1,Activo9,riesgo
2,Ransomware,Ransomware,3905405405,630,666,662,594,113,230,42,42,28826356,5353466,28826356,3,3,18,389,24,119,87,1,Activo2,riesgo
3,Ransomware,Ransomware,3976923077,646,654,776,634,120,259,47,47,29430182,53224796,29430182,3,3,18,389,24,122,87,1,Activo17,riesgo
4,Ransomware,Ransomware,3936585366,649,668,759,643,126,267,46,46,27727547,51838457,27727547,3,3,18,389,24,122,87,1,Activo8,riesgo
5,Ransomware,Ransomware,389,646,663,709,606,123,262,45,45,281602,52565707,281602,3,3,18,389,24,122,87,1,Activo1,riesgo
6,Ransomware,Ransomware,389,647,664,702,606,123,262,46,46,28858218,53324969,28858218,3,3,18,389,24,122,87,1,Activo13,riesgo
7,Ransomware,Ransomware,3920512821,644,681,694,604,119,261,44,44,28205128,53205128,28205128,3,3,18,389,24,121,87,1,Activo3,riesgo
8,Ransomware,Ransomware,3805263158,628,666,661,594,113,230,42,42,28668942,53242321,28668942,3,3,18,389,24,119,87,1,Activo7,riesgo
9,Ransomware,Ransomware,3905405405,630,666,659,594,113,230,42,42,28767123,53424658,28767123,3,3,18,389,24,119,87,1,Activo19,riesgo
10,Ransomware,Ransomware,3905405405,628,666,663,594,113,230,42,42,28806584,53497942,28806584,3,3,18,389,24,119,87,1,Activo17,riesgo
11,Ransomware,Ransomware,39,691,731,885,704,129,285,54,54,30542986,54298643,30542986,57,18262,342,389,24,123,86,1,Activo5,riesgo
12,Ransomware,Ransomware,38725,852,691,718,650,119,252,44,44,28205128,52564103,28205128,61,18559,366,389,24,120,86,1,Activo11,riesgo
